label,campaign_id,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,camp_feed,4.0,2.0,1.0,2.0,4.0,0.0,,,1.0,0.0,0.0,0.0,,720,451,,784,,3,3570,258,1,88130,5029,,164,,2955,79908,2,4885,1551,0,40729,15,9,16643,22,41481
0,camp_feed,3.0,2.0,5.0,6.0,5.0,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,1184,,36164,87468,282,21,7181,404,1,,2309,83671,1229,6,3220,98979,2,5117,1382,1,79218,16,14,16831,79,13033
0,camp_feed,3.0,1.0,1.0,3.0,,3.0,2.0,1.0,2.0,5.0,0.0,,,808,217,86819,78484,145,19,9253,31,0,23832,1993,47103,3064,0,10085,51764,9,5229,764,1,18027,15,,82662,57,17517
0,camp_feed,1.0,0.0,0.0,5.0,1.0,0.0,6.0,,0.0,4.0,1.0,2.0,1.0,910,435,69316,80510,171,,861,499,1,6903,1927,19911,2622,23,6425,68667,0,101,214,2,6933,10,4,6067,32,
0,camp_feed,2.0,0.0,2.0,3.0,1.0,,0.0,1.0,3.0,,0.0,2.0,0.0,1262,,76895,83320,134,10,,423,2,39210,3714,12365,35,24,2198,17877,1,4343,580,1,80611,11,12,68134,55,31944
0,camp_feed,1.0,2.0,4.0,0.0,1.0,0.0,2.0,,2.0,2.0,,1.0,0.0,700,264,71426,58174,,21,,295,2,89497,5214,67954,1225,26,9061,67844,4,1722,838,0,95927,13,9,4837,91,49916
0,camp_feed,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,,5.0,,197,98651,60368,280,6,4770,513,2,57642,3363,61296,1264,17,,7960,7,3092,1101,3,67228,5,9,50290,28,22657
0,camp_feed,,2.0,1.0,9.0,,,1.0,3.0,6.0,11.0,0.0,3.0,3.0,149,6,13399,90520,140,14,6237,,2,50869,2338,,,14,540,82569,8,5093,18,1,95843,,9,11082,88,64534
0,camp_feed,1.0,,,11.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,360,249,,56714,278,16,3762,311,2,29324,455,60014,1878,11,4687,57777,3,,1172,1,49165,0,0,,70,94468
0,camp_feed,3.0,1.0,1.0,0.0,4.0,,0.0,2.0,1.0,,9.0,3.0,5.0,,249,36202,98885,50,,9822,318,0,,1947,,1016,7,13118,58419,,4788,2152,3,35427,7,10,4718,2,66488
0,camp_feed,1.0,12.0,,3.0,0.0,1.0,2.0,5.0,4.0,11.0,0.0,4.0,2.0,1007,,63131,34293,167,18,,222,0,92497,1877,47957,31,,1129,35359,6,2184,1057,,76236,7,10,81351,49,4465
0,camp_feed,,0.0,1.0,4.0,0.0,0.0,0.0,4.0,,1.0,4.0,8.0,2.0,,577,20828,59098,,18,2879,307,0,34914,2081,7825,2172,9,6974,44825,8,4467,195,0,25707,,8,84874,62,96813
0,camp_feed,4.0,,0.0,5.0,11.0,,7.0,1.0,2.0,5.0,5.0,0.0,1.0,1025,233,40237,25368,280,9,9339,172,1,47863,490,43405,1537,5,6919,72459,9,293,,0,96103,5,13,48230,,78481
0,camp_feed,2.0,3.0,0.0,0.0,0.0,,10.0,0.0,,3.0,,5.0,0.0,416,250,38819,85712,115,10,9208,444,1,44655,2462,64377,1884,15,4213,41810,4,2913,1648,0,98450,12,10,,19,
1,camp_feed,4.0,1.0,1.0,2.0,3.0,,1.0,1.0,5.0,0.0,2.0,0.0,,176,101,,16161,31,16,3997,517,1,27034,,15536,1306,12,14365,7320,8,4552,1362,3,55086,,14,41838,41,27832
0,camp_feed,7.0,3.0,4.0,6.0,,0.0,2.0,4.0,4.0,0.0,6.0,6.0,5.0,1045,65,72466,24800,179,4,11001,390,1,41681,2983,390,,10,1129,30819,,2902,712,1,96779,6,,,46,14698
0,camp_feed,0.0,0.0,11.0,14.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,600,467,,33402,135,9,2448,596,1,,2860,39552,272,22,2379,94210,9,4769,2080,1,183,9,2,6516,7,14221
0,camp_feed,2.0,4.0,3.0,1.0,3.0,3.0,0.0,0.0,6.0,7.0,0.0,,0.0,1088,,48782,77944,,0,7830,137,2,,4707,16612,1458,17,2641,56241,9,4773,1763,3,74360,7,4,42022,79,98306
0,camp_feed,,3.0,2.0,,0.0,1.0,8.0,,4.0,5.0,0.0,1.0,9.0,356,452,43202,77670,,17,6094,608,1,67402,3222,4315,3020,8,10106,70325,9,599,228,0,78811,14,4,8388,61,43758
0,camp_feed,4.0,6.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1359,75,47127,33589,145,2,2798,399,,79335,1642,73552,2159,14,6714,73843,3,2140,739,2,40562,8,14,25383,86,75851
0,camp_feed,1.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,3.0,4.0,1.0,5.0,4.0,,306,77533,867,217,18,4534,138,2,58306,891,95479,3099,13,11602,94693,7,2469,,1,27269,2,,54504,14,26635
0,camp_feed,,6.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1131,353,24927,89593,89,1,2835,348,1,71649,4777,9638,753,11,5932,4600,6,1833,310,,60653,17,4,8753,60,39599
0,camp_feed,4.0,0.0,1.0,0.0,3.0,0.0,2.0,10.0,7.0,4.0,2.0,,,932,34,80047,30416,14,20,11701,486,2,16321,3823,72322,1108,1,,41954,5,4466,175,0,73506,16,8,72935,16,38906
0,camp_feed,,3.0,9.0,3.0,1.0,0.0,,2.0,,0.0,,,0.0,255,515,,66281,194,8,5497,496,0,75113,3309,37262,111,8,8467,56674,1,2962,1889,3,,11,,22690,27,55324
0,camp_feed,1.0,1.0,1.0,3.0,0.0,0.0,0.0,,0.0,3.0,5.0,1.0,3.0,558,351,43611,75342,52,17,,393,0,68832,4998,81535,2728,22,2190,3351,5,1713,1070,1,,1,,28581,101,
0,camp_feed,3.0,0.0,3.0,3.0,4.0,,0.0,2.0,,,0.0,2.0,7.0,759,172,95385,16234,86,5,11618,281,,,4865,60831,999,12,10997,92505,1,1422,869,0,73981,6,5,85955,25,90737
0,camp_feed,0.0,,2.0,3.0,1.0,,0.0,2.0,,0.0,1.0,0.0,,239,61,28452,74259,90,1,7362,349,2,56504,71,4904,578,7,2118,54771,3,351,437,1,95872,17,14,83429,86,47872
0,camp_feed,7.0,3.0,2.0,0.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,1.0,2.0,,251,22154,7829,,19,7153,224,2,5593,869,,223,14,10300,34064,5,3160,753,1,76171,17,13,52471,77,20034
0,camp_feed,7.0,,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,1075,515,43068,41576,258,8,11509,23,1,60003,,33584,1120,,8597,8004,,4623,196,1,88174,3,13,64070,75,19394
0,camp_feed,2.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,15.0,7.0,4.0,,2.0,1422,217,44306,14519,201,,11334,404,0,55255,,21589,21,8,7235,53954,4,5142,968,3,93063,16,,82514,46,17195
0,camp_feed,,0.0,4.0,2.0,3.0,1.0,2.0,5.0,0.0,8.0,0.0,1.0,6.0,517,339,82327,55952,,6,2473,623,1,22155,975,77614,1661,17,,25457,5,3309,2001,,14504,8,10,84241,89,17299
0,camp_feed,4.0,,1.0,1.0,3.0,,2.0,0.0,2.0,0.0,3.0,8.0,1.0,1208,409,14359,71285,,12,216,,2,3432,3659,61330,3002,5,11531,,8,5591,76,3,78670,11,1,19695,100,69917
1,camp_feed,4.0,0.0,1.0,4.0,,3.0,4.0,1.0,,6.0,,4.0,0.0,1255,367,91044,86925,59,12,3983,446,1,69111,,18903,515,26,5541,33946,7,,1441,1,93301,,7,,100,71230
1,camp_feed,3.0,0.0,,9.0,0.0,0.0,4.0,1.0,9.0,0.0,2.0,0.0,6.0,1224,494,44203,10913,62,0,10046,,1,46936,,96533,2640,10,5289,2000,6,464,678,3,14651,0,6,4037,94,62701
0,camp_feed,4.0,8.0,1.0,4.0,0.0,0.0,2.0,5.0,7.0,,7.0,2.0,8.0,2,113,87718,84609,65,2,12291,149,,26107,994,33371,2442,9,2398,73248,,2156,1324,2,29066,13,6,68497,94,15951
0,camp_feed,3.0,,1.0,5.0,2.0,9.0,7.0,,,0.0,,2.0,1.0,,181,6347,87253,92,9,8013,,0,31952,,82217,1330,,7025,43939,8,2795,732,3,82461,5,12,74432,,69285
0,camp_feed,3.0,7.0,,,3.0,0.0,2.0,2.0,0.0,5.0,2.0,2.0,1.0,721,202,59261,74686,153,4,9605,130,1,55141,3749,13293,2195,12,9707,61530,2,1854,,0,22250,14,13,30708,29,88098
1,camp_feed,2.0,,7.0,2.0,,0.0,2.0,1.0,,2.0,0.0,4.0,7.0,347,472,38981,,195,,4498,462,2,9115,2419,99110,2267,24,13422,56749,4,3769,2145,1,89742,10,14,,,40332
1,camp_feed,,1.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,,1.0,0.0,5.0,1194,549,,48440,257,0,3421,347,0,,1080,96867,1745,16,,50818,7,412,2016,1,30801,1,3,66219,52,20247
0,camp_feed,5.0,,1.0,,2.0,1.0,6.0,2.0,4.0,0.0,,6.0,1.0,,383,72814,22212,236,23,3690,237,2,64980,1112,84165,1953,5,4697,69012,,172,762,0,29652,16,6,82592,2,62670
0,camp_feed,1.0,7.0,5.0,,9.0,5.0,3.0,4.0,0.0,,3.0,0.0,3.0,939,435,37462,94485,260,11,5805,178,,71186,1007,97484,2270,24,9516,,8,2128,,0,63841,15,9,73797,5,80012
0,camp_feed,2.0,5.0,,7.0,0.0,1.0,5.0,0.0,3.0,8.0,7.0,5.0,1.0,1434,20,35579,42230,9,15,587,158,2,,3903,46548,22,25,8263,93807,7,5133,468,1,52059,6,10,14677,75,232
1,camp_feed,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,3.0,2.0,225,219,14680,,,13,4813,428,0,15076,171,29667,1153,5,4312,41544,6,,1103,1,,16,0,89178,100,91266
0,camp_feed,2.0,,0.0,,0.0,3.0,4.0,,1.0,2.0,2.0,,0.0,862,413,31679,24632,216,4,6435,542,2,23414,762,516,1819,14,12198,35250,1,3895,416,0,,10,14,40391,5,68325
0,camp_feed,1.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,,10.0,2.0,8.0,0.0,777,343,51206,42434,53,13,4504,,0,48059,3902,23550,2597,8,698,,5,4221,1427,0,91,15,14,14954,31,47768
0,camp_feed,1.0,1.0,,3.0,1.0,1.0,0.0,0.0,0.0,,8.0,,6.0,1036,429,519,97086,110,13,4300,,2,1024,5496,47000,499,20,5460,,0,3176,,1,46661,16,7,86081,13,70629
0,camp_feed,2.0,,7.0,2.0,5.0,6.0,0.0,0.0,0.0,6.0,,3.0,0.0,336,438,99680,50934,74,,5399,,2,47608,840,19659,3146,19,13919,77223,4,988,523,3,21440,3,,89175,43,65504
0,camp_feed,0.0,3.0,9.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1065,,68517,29272,254,,,588,2,1716,1076,62891,2220,7,3226,,5,4615,2092,1,18698,,4,4848,60,90966
0,camp_feed,2.0,3.0,3.0,,8.0,5.0,0.0,2.0,2.0,1.0,4.0,1.0,0.0,431,268,73911,52667,300,22,143,266,1,66032,4047,3409,86,10,11016,14416,7,2873,1952,3,65845,6,3,17574,77,87176
0,camp_feed,,6.0,3.0,3.0,4.0,2.0,11.0,,1.0,,,0.0,,253,107,72200,46921,183,5,8634,250,0,39087,1208,,2482,19,7436,41272,6,437,247,0,37373,13,2,66257,62,27629
0,camp_feed,3.0,1.0,2.0,,4.0,1.0,6.0,2.0,2.0,2.0,,0.0,1.0,487,60,6016,16748,262,16,2471,310,1,41500,3302,64295,2629,15,1400,50141,9,685,1293,,50224,14,6,1912,89,71049
0,camp_feed,0.0,2.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,1.0,4.0,1.0,414,98,18683,25376,84,,10235,233,2,67412,3227,52216,1285,22,2115,11547,9,1231,279,2,40856,5,6,45245,97,16124
0,camp_feed,3.0,0.0,,1.0,,,2.0,0.0,3.0,2.0,9.0,0.0,1.0,,569,31748,66459,27,16,2409,264,2,12374,3875,21291,2040,24,12680,,5,2148,1211,0,77543,10,8,74139,97,7293
0,camp_feed,,0.0,1.0,,0.0,8.0,0.0,2.0,,1.0,,1.0,0.0,136,386,3781,65949,205,6,4392,350,0,25573,5063,,,13,1162,61870,,5287,,2,4116,2,,,2,
0,camp_feed,0.0,0.0,3.0,0.0,1.0,7.0,5.0,3.0,,0.0,0.0,1.0,0.0,171,551,49055,90915,42,18,5525,37,2,92689,2047,97489,3131,11,4245,77475,7,1330,1004,,46472,,,21794,97,79581
0,camp_feed,1.0,6.0,3.0,,3.0,3.0,0.0,0.0,0.0,1.0,,10.0,3.0,,446,13616,36635,164,13,12210,450,1,26048,1450,45005,2739,10,5820,65001,1,778,701,0,31371,1,,6189,,39757
0,camp_feed,5.0,4.0,0.0,1.0,1.0,4.0,1.0,2.0,,1.0,,3.0,,153,205,31884,98852,135,4,402,315,0,73061,3291,31535,2725,20,5216,,7,4792,909,,93997,1,7,69893,47,54370
0,camp_feed,6.0,,2.0,1.0,,0.0,1.0,0.0,0.0,4.0,1.0,2.0,,282,4,91851,70782,,4,5477,,2,,2496,44506,1535,11,3026,99977,,4207,133,0,44293,,5,16631,5,65759
0,camp_feed,0.0,2.0,1.0,0.0,,6.0,1.0,0.0,5.0,0.0,1.0,2.0,4.0,917,45,84878,83949,215,2,8750,187,1,2284,1967,25821,1512,21,7524,85777,7,2476,463,,85537,7,8,59183,38,48027
0,camp_feed,5.0,6.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1064,21,32514,,75,18,3095,488,0,88867,3012,52542,2094,21,2036,19701,,489,18,1,45642,,4,43813,6,
0,camp_feed,0.0,1.0,7.0,2.0,2.0,7.0,1.0,6.0,5.0,,,,9.0,226,,34575,79573,,0,,427,2,438,1184,,1520,,9954,60669,6,2256,883,,18343,3,4,44908,,43246
